level,label,label_en,label_cn,path_text,parent_path_text,node_id,aria_haspopup,aria_owns,has_children,selected,checked,disabled,class_name
1,全分类,,,全分类,,cascader-menu-536-0-0,False,,False,False,False,False,el-cascader-node is-selectable
1,Appliances(电器),Appliances,电器,Appliances(电器),,cascader-menu-536-0-1,True,cascader-menu-536-0,True,False,False,False,el-cascader-node is-selectable
2,Air Quality(空气净化器),Air Quality,空气净化器,Appliances(电器) > Air Quality(空气净化器),Appliances(电器),cascader-menu-9493-1-0,False,,False,False,False,False,el-cascader-node is-selectable
2,Coffee & Tea Appliances(咖啡设备与茶具),Coffee & Tea Appliances,咖啡设备与茶具,Appliances(电器) > Coffee & Tea Appliances(咖啡设备与茶具),Appliances(电器),cascader-menu-9493-1-1,False,,False,False,False,False,el-cascader-node is-selectable
2,Electric Massagers(电动按摩器),Electric Massagers,电动按摩器,Appliances(电器) > Electric Massagers(电动按摩器),Appliances(电器),cascader-menu-9493-1-2,False,,False,False,False,False,el-cascader-node is-selectable
2,Fans & Air Conditioners(空调和风扇),Fans & Air Conditioners,空调和风扇,Appliances(电器) > Fans & Air Conditioners(空调和风扇),Appliances(电器),cascader-menu-9493-1-3,False,,False,False,False,False,el-cascader-node is-selectable
2,Hair Care(头发护理),Hair Care,头发护理,Appliances(电器) > Hair Care(头发护理),Appliances(电器),cascader-menu-9493-1-4,False,,False,False,False,False,el-cascader-node is-selectable
2,Health & Wellness Monitors(健康监测),Health & Wellness Monitors,健康监测,Appliances(电器) > Health & Wellness Monitors(健康监测),Appliances(电器),cascader-menu-9493-1-5,False,,False,False,False,False,el-cascader-node is-selectable
2,Heating Equipment(制热设备),Heating Equipment,制热设备,Appliances(电器) > Heating Equipment(制热设备),Appliances(电器),cascader-menu-9493-1-6,False,,False,False,False,False,el-cascader-node is-selectable
2,Home Appliances(家电),Home Appliances,家电,Appliances(电器) > Home Appliances(家电),Appliances(电器),cascader-menu-9493-1-7,False,,False,False,False,False,el-cascader-node is-selectable
2,Ice Maker(制冰机),Ice Maker,制冰机,Appliances(电器) > Ice Maker(制冰机),Appliances(电器),cascader-menu-9493-1-8,False,,False,False,False,False,el-cascader-node is-selectable
2,Juicers & Food Processors(榨汁机、搅拌机、料理机),Juicers & Food Processors,榨汁机、搅拌机、料理机,Appliances(电器) > Juicers & Food Processors(榨汁机、搅拌机、料理机),Appliances(电器),cascader-menu-9493-1-9,False,,False,False,False,False,el-cascader-node is-selectable
2,Kitchen Appliances(厨房电器),Kitchen Appliances,厨房电器,Appliances(电器) > Kitchen Appliances(厨房电器),Appliances(电器),cascader-menu-9493-1-10,False,,False,False,False,False,el-cascader-node is-selectable
2,Laundry Supplies(洗衣干衣用品),Laundry Supplies,洗衣干衣用品,Appliances(电器) > Laundry Supplies(洗衣干衣用品),Appliances(电器),cascader-menu-9493-1-11,False,,False,False,False,False,el-cascader-node is-selectable
2,Oral Care Electronics(口腔护理),Oral Care Electronics,口腔护理,Appliances(电器) > Oral Care Electronics(口腔护理),Appliances(电器),cascader-menu-9493-1-12,False,,False,False,False,False,el-cascader-node is-selectable
2,Personal Care Electronics(个护家电),Personal Care Electronics,个护家电,Appliances(电器) > Personal Care Electronics(个护家电),Appliances(电器),cascader-menu-9493-1-13,False,,False,False,False,False,el-cascader-node is-selectable
2,"Refrigerators, Freezers & Accessories(冰箱、冷柜及配件)","Refrigerators, Freezers & Accessories",冰箱、冷柜及配件,"Appliances(电器) > Refrigerators, Freezers & Accessories(冰箱、冷柜及配件)",Appliances(电器),cascader-menu-9493-1-14,False,,False,False,False,False,el-cascader-node is-selectable
2,Ultrasonic Insect & Pest Repellers(灭虫器/驱虫器),Ultrasonic Insect & Pest Repellers,灭虫器/驱虫器,Appliances(电器) > Ultrasonic Insect & Pest Repellers(灭虫器/驱虫器),Appliances(电器),cascader-menu-9493-1-15,False,,False,False,False,False,el-cascader-node is-selectable
2,Vacuums & Floor Care(吸尘器及扫地机器人),Vacuums & Floor Care,吸尘器及扫地机器人,Appliances(电器) > Vacuums & Floor Care(吸尘器及扫地机器人),Appliances(电器),cascader-menu-9493-1-16,False,,False,False,False,False,el-cascader-node is-selectable
1,"Arts, Crafts & Sewing(手工艺与缝纫制品)","Arts, Crafts & Sewing",手工艺与缝纫制品,"Arts, Crafts & Sewing(手工艺与缝纫制品)",,cascader-menu-536-0-2,True,cascader-menu-536-0,True,False,False,False,el-cascader-node is-selectable
2,Beading & Jewelry Making(珠饰、首饰制作用品),Beading & Jewelry Making,珠饰、首饰制作用品,"Arts, Crafts & Sewing(手工艺与缝纫制品) > Beading & Jewelry Making(珠饰、首饰制作用品)","Arts, Crafts & Sewing(手工艺与缝纫制品)",cascader-menu-9493-1-0,False,,False,False,False,False,el-cascader-node is-selectable
